login,name,profile_url,bio,public_repos,followers,following,commits_last_year,contributed_repos
Rich-Harris,Rich Harris,https://github.com/Rich-Harris,,392,20245,0,50,1
dummdidumm,Simon H,https://github.com/dummdidumm,Passionate about web frontends. ,57,723,0,50,1
paoloricciuti,Paolo Ricciuti,https://github.com/paoloricciuti,You can find me around the web as pablopang or as paoloricciuti.,162,251,51,50,1
Ocean-OS,ComputerGuy,https://github.com/Ocean-OS,I program stuff,27,44,96,48,1
7nik,,https://github.com/7nik,,18,9,0,31,1
trueadm,Dominic Gannaway,https://github.com/trueadm,"I'm a software engineer. Author of Ripple, @lexicaljs and @infernojs. Former @reactjs core team engineer, and core maintainer of @sveltejs at @vercel.",65,4814,35,26,1
benmccann,Ben McCann,https://github.com/benmccann,"Co-Founder of AI search company, Connectifier - acquired by LinkedIn.

A creator of SvelteKit and maintainer of data libraries Tablesaw and Chart.js",827,1265,2,20,1
adiguba,adiGuba,https://github.com/adiguba,,4,3,0,16,1
elliott-with-the-longest-name-on-github,Elliott Johnson,https://github.com/elliott-with-the-longest-name-on-github,"Striving to stay gruntled and corrigible, but never peccable.

Svelte Core team",48,92,1,14,1
navorite,Ahmad S.,https://github.com/navorite,Free Palestine,8,13,3,4,1
dominikg,Dominik G.,https://github.com/dominikg,"PSA: 
I don't use upwork or similar platforms to look for jobs or offer my services. 
Do not contact me with offers via github account email.",80,365,25,4,1
Conduitry,,https://github.com/Conduitry,,41,681,0,1,1
PuruVJ,Puru Vijay,https://github.com/PuruVJ,"I make things small and fast 🚀
@sveltejs team
",102,987,67,1,1
brunnerh,,https://github.com/brunnerh,,52,27,18,1,1
github-actions[bot],,https://github.com/apps/github-actions,,0,0,0,0,1
tanhauhau,Tan Li Hau,https://github.com/tanhauhau,"Frontend Developer at @Shopee 
🇲🇾💻in 🇸🇬",233,1644,280,0,1
baseballyama,Yuichiro Yamashita,https://github.com/baseballyama,,104,81,5,0,1
gtm-nayan,gtmnayan,https://github.com/gtm-nayan,,86,56,20,0,1
dependabot[bot],,https://github.com/apps/dependabot,,0,0,0,0,1
Swatinem,Arpad Borsos,https://github.com/Swatinem,,170,454,67,0,1
DreaminDani,Dani Sandoval,https://github.com/DreaminDani,Putting the human experience first. Developing solutions to make it better.,68,41,10,0,1
jacwright,Jacob Wright,https://github.com/jacwright,,76,160,5,0,1
lukeed,Luke Edwards,https://github.com/lukeed,,342,4992,23,0,1
mrkishi,Maurício Kishi,https://github.com/mrkishi,,28,96,23,0,1
mindrones,Luca Bonavita,https://github.com/mindrones,"Data visualization, linked data, all things visual.",20,114,79,0,1
pngwn,pngwn,https://github.com/pngwn,brrrrrr!,97,811,11,0,1
ngtr6788,Nguyen Tran,https://github.com/ngtr6788,,17,6,0,0,1
geoffrich,Geoff Rich,https://github.com/geoffrich,@sveltejs team member and pianist.,84,253,6,0,1
ekhaled,Khaled Ahmed,https://github.com/ekhaled,,59,45,2,0,1
ignatiusmb,Ignatius Bagus,https://github.com/ignatiusmb,in a rabbit hole,16,108,1,0,1
EmilTholin,Emil Tholin,https://github.com/EmilTholin,,9,182,10,0,1
antony,Antony Jones,https://github.com/antony,Chief Technical Officer @beyonk-group Previously CTA @vendigo-group. Creator of @vudash. Software Quality zealot. Agile fanatic. Open source obsessive,201,379,70,0,1
tivac,Pat Cavit,https://github.com/tivac,Web Programming. JS build tooling.,131,176,37,0,1
jches,j chesley,https://github.com/jches,,4,7,1,0,1
zxbodya,Bogdan Savluk,https://github.com/zxbodya,,56,93,18,0,1
btk5h,Bryan Terce,https://github.com/btk5h,pog,55,45,2,0,1
PaulBGD,PaulBGD,https://github.com/PaulBGD,A guy. ,164,154,24,0,1
halfnelson,,https://github.com/halfnelson,,99,163,3,0,1
pushkine,pushkine,https://github.com/pushkine,,20,14,9,0,1
GarrettGeorge,Garrett George,https://github.com/GarrettGeorge,,23,6,0,0,1
btakita,Brian Takita,https://github.com/btakita,,262,150,111,0,1
FWeinb,Fabrice,https://github.com/FWeinb,,124,138,7,0,1
TehShrike,Josh Duff,https://github.com/TehShrike,JavaScript • Open Source • Business Software • Chat with me on Discord: TehShrike#4520,426,349,182,0,1
jamesbirtles,James Birtles,https://github.com/jamesbirtles,,67,103,17,0,1
colincasey,Colin Casey,https://github.com/colincasey,,50,48,7,0,1
evs-chris,Chris Reeves,https://github.com/evs-chris,,67,62,0,0,1
fcrozatier,Frédéric Crozatier,https://github.com/fcrozatier,,48,31,0,0,1
jacobmischka,Jacob Mischka,https://github.com/jacobmischka,uwu,226,97,147,0,1
bluwy,Bjorn Lu,https://github.com/bluwy,Building tools for fun. @vitejs core team member.,80,1563,42,0,1
kaisermann,Christian Kaisermann,https://github.com/kaisermann,building things for others to build their things.,89,599,98,0,1
zpao,Paul O’Shannessy,https://github.com/zpao,I do open source things at @facebook.,167,5274,24,0,0
axemclion,Parashuram N,https://github.com/axemclion,"Developer, Serial Hacker, Midnight Dog walker",29,629,0,0,0
paulirish,Paul Irish,https://github.com/paulirish,,378,31758,334,0,0
dfilatov,Filatov Dmitry,https://github.com/dfilatov,,55,225,6,0,0
mrdoob,,https://github.com/mrdoob,,49,24675,194,0,0
localvoid,Boris Kaul,https://github.com/localvoid,,111,195,9,0,0
callumlocke,Callum Locke,https://github.com/callumlocke,,236,387,32,0,0
dchambers,Dominic Chambers,https://github.com/dchambers,λ - The Ultimate GOTO,88,37,3,0,0
Bobris,Boris Letocha,https://github.com/Bobris,"Whole life developer, architect",35,150,92,0,0
tlvince,Tom Vincent,https://github.com/tlvince,,477,97,29,0,0
lozlow,Pete Shaw,https://github.com/lozlow,,42,17,6,0,0
rvagg,Rod Vagg,https://github.com/rvagg,Byte craftsman,213,2557,0,0,0
yyx990803,Evan You,https://github.com/yyx990803,"Founder @voidzero-dev, author of @vuejs and @vitejs. Connoisseur of sushi.",198,106427,100,0,0
paldepind,Simon Friis Vindum,https://github.com/paldepind,I love writing code.,138,710,7,0,0
AndyLyons,Andrew Lyons,https://github.com/AndyLyons,,1,9,0,0,0
dogoku,Theo,https://github.com/dogoku,WebPug,45,26,6,0,0
nightwolfz,Ryan M.,https://github.com/nightwolfz,,112,70,42,0,0
gaearon,dan,https://github.com/gaearon,,291,90210,174,0,0
zertosh,Andres Suarez,https://github.com/zertosh,,65,742,3,0,0
samccone,Sam Saccone,https://github.com/samccone,🏊‍♂️,409,2255,0,0,0
avsmithy,Alex Smith,https://github.com/avsmithy,,2,21,3,0,0
simo101,Simon Black,https://github.com/simo101,,126,54,14,0,0
vegetableman,vignesh anand,https://github.com/vegetableman,,155,0,0,0,0
WolframHempel,Wolfram Hempel,https://github.com/WolframHempel,"co-founder of https://hivekit.io/ formerly made https://arcentry.com/, https://deepstream.io/ and https://golden-layout.com/",22,138,1,0,0
charypar,Viktor Charypar,https://github.com/charypar,Tech Director @ Red Badger,36,120,41,0,0
Ganners,Mark Gannaway,https://github.com/Ganners,,32,46,54,0,0
briandipalma,Brian Di Palma,https://github.com/briandipalma,,174,62,12,0,0
mweststrate,Michel Weststrate,https://github.com/mweststrate,,79,3183,8,0,0
Havunen,Sampo Kivistö,https://github.com/Havunen,"Founder & CEO at AutoExplore Oy  
  :fire: InfernoJS 🦀",126,124,17,0,0
markhankins,Mark hankins,https://github.com/markhankins,"Open source enthusiast. Python, AWS, DevOps.
    
",4,9,9,0,0
ahejlsberg,Anders Hejlsberg,https://github.com/ahejlsberg,"Microsoft Technical Fellow and lead architect of TypeScript. Original designer of C#, Delphi, and Turbo Pascal.",4,16250,0,0,0
fopsdev,Philipp Knecht,https://github.com/fopsdev,,3,19,88,0,0
thomas-gilbert,Thomas Gilbert,https://github.com/thomas-gilbert,,8,17,2,0,0
sarahfwood,Sarah,https://github.com/sarahfwood,Junior Developer & General Assembly Graduate,20,27,46,0,0
ry,Ryan Dahl,https://github.com/ry,,61,32945,39,0,0
alex,Alex Gaynor,https://github.com/alex,"I program computers, and build teams that program computers, with a heavy focus on security.",493,10471,38,0,0
aemkei,Martin Kleppe,https://github.com/aemkei,"Mapper. Reducer. – Co-Founder of @Ubilabs, GDE for the Google Maps API, Organizer of HHjs and @JSUnconf, Code-Golfing at http://aem1k.com ",70,1764,28,0,0
cheeaun,Chee Aun,https://github.com/cheeaun,"Product-first Front-end Engineer. Interested in design, dataviz, maps, public transport & stickers.",248,1823,1060,0,0
fadhlirahim,Fadhli Rahim,https://github.com/fadhlirahim,,26,103,156,0,0
sssionggg,Siong,https://github.com/sssionggg,,141,205,31,0,0
Intellicode,Tom Hastjarjanto,https://github.com/Intellicode,Vibe coder - Kubernetes / Kotlin / TypeScript,50,64,12,0,0
sophiebits,Sophie Alpert,https://github.com/sophiebits,principal engineer. powered by dumplings!,176,10386,0,0,0
isaacs,isaacs,https://github.com/isaacs,"npm inventor, founder npm, Inc.
Former Node BDFL.
All opinions are my own. Literally all of them. I own them all.",477,15888,4,0,0
petebacondarwin,Pete Bacon Darwin,https://github.com/petebacondarwin,"2021: Systems Engineer at Cloudflare;
2014: Angular Core team member;
2004: Dad from 2004.",237,1602,13,0,0
zkat,Kat Marchán,https://github.com/zkat,too tired,215,4704,63,0,0
threepointone,Sunil Pai,https://github.com/threepointone,,344,3972,0,0,0
tj,TJ,https://github.com/tj,,296,51478,45,0,0
bvaughn,Brian Vaughn,https://github.com/bvaughn,"Turning coffee into software.

Formerly developer tooling at @replayio, React core at @facebook, and @google.",169,11569,1,0,0
dandv,Dan Dascalescu,https://github.com/dandv,"Consultant @anthropics. Ex @weaviate, @google, @yahoo.  Founded the Quantified Self Forum, Blueseed (the visa-free startup ship project) and 3 web startups.",831,707,30,0,0
mobz,Ben Birch,https://github.com/mobz,,38,253,23,0,0
leebyron,Lee Byron,https://github.com/leebyron,"Director of @graphql Foundation.

Prev: @watershed-climate, @robinhoodmarkets, @facebook, @tc39, @nytimes",112,5282,2,0,0
latentflip,Philip Roberts,https://github.com/latentflip,,361,3938,33,0,0
mathiasbynens,Mathias Bynens,https://github.com/mathiasbynens,"Web standards fanatic. JavaScript, HTML, CSS, HTTP, performance, security, Bash, Unicode, macOS.",589,12802,163,0,0
developit,Jason Miller,https://github.com/developit,Creator of @preactjs. DX @Shopify.,343,12922,376,0,0
addyosmani,Addy Osmani,https://github.com/addyosmani,Engineering Lead at Google working on Chrome & Web Platform,346,44810,265,0,0
jridgewell,Justin Ridgewell,https://github.com/jridgewell,,242,1289,0,0,0
dashed,Alberto Leal,https://github.com/dashed,🇨🇦 he/him/his,187,252,589,0,0
benbahrenburg,Ben Bahrenburg,https://github.com/benbahrenburg,"Bringing Innovation to the enterprise.
JS. Swift. Data. ML. Geo.",122,421,151,0,0
getify,Kyle Simpson,https://github.com/getify,Kyle Simpson is a Human-Centric Technologist. He's fighting for the people behind the pixels.,75,44989,3,0,0
sofish,小鱼,https://github.com/sofish,,41,10484,19,0,0
sindresorhus,Sindre Sorhus,https://github.com/sindresorhus,"Full-Time Open-Sourcerer. Focused on Swift & JavaScript. Makes macOS apps, CLI tools, npm packages.",1131,76739,31,0,0
dtinth,Thai Pangsakulyanont,https://github.com/dtinth,JavaScript musician????? CSS layout destroyer!!!!! WHEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE,837,2122,629,0,0
Jinjiang,Jinjiang,https://github.com/Jinjiang,0.1.x Engineer + ⚽️💻,76,7182,0,0,0
honcheng,honcheng,https://github.com/honcheng,,70,988,52,0,0
surma,Surma,https://github.com/surma,"DX at Shopify. Web Platform Advocate. Craving simplicity, finding it nowhere. Internetrovert 🏳️‍🌈",59,4560,0,0,0
yuanchuan,Yuan Chuan,https://github.com/yuanchuan,"Keep it simple, sweetie. 
",43,1424,100,0,0
lxcid,Stan Chang,https://github.com/lxcid,Co-Founder & CTO of Taskade (YC S19),118,276,287,0,0
evantahler,Evan Tahler,https://github.com/evantahler,"Nerd. Future Late Night Talkshow host.  Head  of eng @ArcadeAI. 

Working on @actionhero, Node-Resque, and more!  Prev @airbytehq @grouparoo @airbus-sv, @task",100,350,83,0,0
floatdrop,Vsevolod Strukchinsky,https://github.com/floatdrop,I solemnly swear that I am up to no good.,148,520,11,0,0
jonschlinkert,Jon Schlinkert,https://github.com/jonschlinkert,Son of GitHub. Humble student of @doowb. Creator of @assemble @generate @enquirer @breakdance @update @micromatch,862,4836,75,0,0
sethvargo,Seth Vargo,https://github.com/sethvargo,Engineer,56,4517,6,0,0
fdintino,Frankie Dintino,https://github.com/fdintino,,111,91,0,0,0
opensas,opensas,https://github.com/opensas,Available for freelance jobs | Full stack developer | Free software advocate | Nerd by nature | Hacker by night,90,112,26,0,0
rohitsm,Rohit,https://github.com/rohitsm,"Software Engineer at Apple ; 
NTUSg Alumni",23,33,45,0,0
cylarez,Sylvain Nicolle,https://github.com/cylarez,,6,8,3,0,0
jeffmo,Jeff Morrison,https://github.com/jeffmo,,75,1146,1,0,0
mohsen1,Mohsen Azimi,https://github.com/mohsen1,"♥ Open Source!

https://twitter.com/mohsen____",285,504,69,0,0
vitoc,Vito Chin,https://github.com/vitoc,"Software, languages, automation, AI, cloud, economics, design.",125,94,116,0,0
paulmillr,Paul Miller,https://github.com/paulmillr,,60,4321,0,0,0
zineer,Joel Duifhuis,https://github.com/zineer,,16,5,0,0,0
hzoo,Henry,https://github.com/hzoo,Learning to maintain stuff,65,5317,0,0,0
serrynaimo,Thomas Gorissen,https://github.com/serrynaimo,,43,121,4,0,0
fuzzie360,Fazli Sapuan,https://github.com/fuzzie360,,32,78,1,0,0
kfowler,Kevin Fowler,https://github.com/kfowler,,129,35,67,0,0
jjersin,John Jersin,https://github.com/jjersin,"Active startup investor, advisor, and board director for a wide range of companies in Silicon Valley and throughout the world",0,5,3,0,0
joshnuss,Joshua Nussbaum,https://github.com/joshnuss,,272,464,33,0,0
Charca,Maxi Ferreira,https://github.com/Charca,,114,473,12,0,0
jakearchibald,Jake Archibald,https://github.com/jakearchibald,,247,11481,4,0,0
ciscoheat,Andreas Söderlund,https://github.com/ciscoheat,,121,338,2,0,0
KevinBongart,Kevin Bongart,https://github.com/KevinBongart,"Software engineer with 15 years of experience with Ruby on Rails, specialized in Operations and Logistics.",80,77,23,0,0
shiffman,Daniel Shiffman,https://github.com/shiffman,,172,19489,35,0,0
spences10,Scott Spence,https://github.com/spences10,I've never Svelte like this before!,275,926,412,0,0
kevmodrome,Kevin Åberg Kultalahti,https://github.com/kevmodrome,"Technical Community Builder at Svelte Society, Organizer of Svelte Summit.",47,191,9,0,0
mansona,Chris Manson,https://github.com/mansona,,314,153,52,0,0
khromov,Stanislav Khromov,https://github.com/khromov,👨‍💻️ Full-stack software engineer,282,364,41,0,0
danielimmke,Daniel Immke,https://github.com/danielimmke,,12,47,17,0,0
mattmezza,Matteo Merola,https://github.com/mattmezza,Engineering Manager @ IKEA by day and building SaaS apps by night @saaskoala ,92,175,467,0,0
oscard0m,Oscar Dominguez,https://github.com/oscard0m,Software Engineer 💻:⚽🤓🤖,77,123,91,0,0
toniengelhardt,toni,https://github.com/toniengelhardt,,30,45,73,0,0
43081j,James Garbutt,https://github.com/43081j,¯\_(ツ)_/¯,277,339,3,0,0
SarcevicAntonio,Antonio Sarcevic,https://github.com/SarcevicAntonio,"Queer person living in Münster.
Loves to craft solid user experiences.
Enjoys fingerboarding, music, dancing, and flowers.",20,75,79,0,0
swyxio,swyx.io,https://github.com/swyxio,"ai/software 3.0: https://latent.space/

devrel/devtools: https://dx.tips/

blog: https://swyx.io/ideas

advice/career book: https://learninpublic.org",710,7222,176,0,0
intersimone999,Simone Scalabrino,https://github.com/intersimone999,,46,48,29,0,0
ivcandela,Ivan Candela,https://github.com/ivcandela,"A modern web-developer with a solid SE background, full-stack perspective and everlasting curiosity",11,21,21,0,0
antfu,Anthony Fu,https://github.com/antfu,"A ship in harbor is safe, but that is not what ships are built for.",383,38084,396,0,0
LukeMathWalker,Luca Palmieri,https://github.com/LukeMathWalker,"Playing around with Rust, at $dayjob and for fun.",119,3222,47,0,0
steveruizok,Steve Ruiz,https://github.com/steveruizok,"Founder & CEO, @tldraw ",169,3225,7,0,0
sveltejs,Svelte,https://github.com/sveltejs,Web development for the rest of us,84,4600,0,0,0
multiplehats,Chris Jayden,https://github.com/multiplehats,Svelte is the way. ,13,26,17,0,0
TGlide,Thomas G. Lopes,https://github.com/TGlide,"🍨 Building Melt UI

🧡 Svelte Ambassador

💻 Frontend Human",197,509,107,0,0
mattpocock,Matt Pocock,https://github.com/mattpocock,"TypeScript wizard. Building Total TypeScript - a comprehensive, production-grade TypeScript course.

Ex-Vercel, Stately.",208,6550,34,0,0
danielroe,Daniel Roe,https://github.com/danielroe,@nuxt • @unjs • @vuejs • @elk-zone,852,5545,170,0,0
K-Sato1995,K-Sato,https://github.com/K-Sato1995,🐶🐕🐕‍🦺🦮🐾,176,135,325,0,0
matiadev,Matia,https://github.com/matiadev,Front-end developer with a passion for JavaScript and UI/UX design,117,818,26,0,0
beerinho,Daniel Beer,https://github.com/beerinho,,10,4,2,0,0
brittneypostma,Brittney Postma,https://github.com/brittneypostma,"Svelte enthusiast crafting component libraries and design systems. Background in graphic design, passionate about accessibility-first development and fluid UXUI",246,323,112,0,0
grischaerbe,Grischa Erbe,https://github.com/grischaerbe,"🚀 Freelance Fullstack Engineer with formal design training 🎨 3D web maestro, translating design dreams into digital realities 🌐 Creator of @threlte 💡",25,116,28,0,0
ghostdevv,Willow (GHOST),https://github.com/ghostdevv,Well when life gives you lemons,176,234,96,0,0
juliusmarminge,Julius Marminge,https://github.com/juliusmarminge,"🇸🇪. Founding Engineer @pingdotgg 🇺🇸, Open Source 🌍",256,1988,30,0,0
stordahl,Jacob Størdahl,https://github.com/stordahl,,50,100,110,0,0
Peter-512,Peter Buschenreiter,https://github.com/Peter-512,Software Engineer at DataCamp | Applied Computer Science graduate at Karel de Grote Hogeschool | SvelteKit enthusiast,42,18,20,0,0
huntabyte,Hunter Johnston,https://github.com/huntabyte,To define is to limit.,156,1824,24,0,0
vitest-dev,Vitest,https://github.com/vitest-dev,A blazing fast unit test framework powered by Vite,6,646,0,0,0
rauchg,Guillermo Rauch,https://github.com/rauchg,,139,16346,882,0,0
mourner,Volodymyr Agafonkin,https://github.com/mourner,"Engineer at @mapbox, building mapping tools of the future. Creator of @Leaflet. Algorithms geek, rock musician, baker, father of twin girls, Ukrainian 🇺🇦",80,6093,294,0,0
buhrmi,Stefan Buhrmester,https://github.com/buhrmi,,42,88,2,0,0
manucorporat,Manu MA,https://github.com/manucorporat,,142,2818,26,0,0
adamdbradley,Adam Bradley,https://github.com/adamdbradley,"Director of Technology at BuilderIO, working an working on Generative AI. Previously  
http://ionicframework.com/ 
https://stenciljs.com/ ",88,1799,30,0,0
EricSimons,Eric Simons,https://github.com/EricSimons,https://esft.com,38,944,6,0,0
